Voucher Type,Invoice No,Date,Ref,Dr Account,Cr.Account,Cost Center,Amount,Narration
sales,6253,28-07-2014,00555 / 20Microns,20 Microns Limited ,,00555 / 20Microns,242615.04,JOBNO:00555/ AWB/BL.NO.:GMSUALX2003326 DT.01/05/2014/ BE.NO.:5870938 dt.20/06/2014/ LIME STONE/ 8640PKG / 21000KGS/ ,
sales,6253,28-07-2014,00555 / 20Microns,,Agency charges,00555 / 20Microns,26400,JOBNO:00555/ AWB/BL.NO.:GMSUALX2003326 DT.01/05/2014/ BE.NO.:5870938 dt.20/06/2014/ LIME STONE/ 8640PKG / 21000KGS/ ,
sales,6253,28-07-2014,00555 / 20Microns,,CFS Charges,00555 / 20Microns,89056,JOBNO:00555/ AWB/BL.NO.:GMSUALX2003326 DT.01/05/2014/ BE.NO.:5870938 dt.20/06/2014/ LIME STONE/ 8640PKG / 21000KGS/ ,
sales,6253,28-07-2014,00555 / 20Microns,,DO CHARGES,00555 / 20Microns,123896,JOBNO:00555/ AWB/BL.NO.:GMSUALX2003326 DT.01/05/2014/ BE.NO.:5870938 dt.20/06/2014/ LIME STONE/ 8640PKG / 21000KGS/ ,
sales,6253,28-07-2014,00555 / 20Microns,,Service Tax,00555 / 20Microns,3263.04,JOBNO:00555/ AWB/BL.NO.:GMSUALX2003326 DT.01/05/2014/ BE.NO.:5870938 dt.20/06/2014/ LIME STONE/ 8640PKG / 21000KGS/ ,
sales,6254,28-07-2014,00557 / 20Microns,20 Microns Limited ,,00557 / 20Microns,97685.52,JOBNO:00557/ AWB/BL.NO.:GMSUALX2003316 dt.01/05/2014/ BE.NO.:5871668 dt.20/06/2014/ COATED CALCIUM CARBONATE PWD-G (ASCOM 20 T) NOT FOR MEDICINCAL USE/ 4160 PKG/104240 KGS/ ,
sales,6254,28-07-2014,00557 / 20Microns,,Agency charges,00557 / 20Microns,13200,JOBNO:00557/ AWB/BL.NO.:GMSUALX2003316 dt.01/05/2014/ BE.NO.:5871668 dt.20/06/2014/ COATED CALCIUM CARBONATE PWD-G (ASCOM 20 T) NOT FOR MEDICINCAL USE/ 4160 PKG/104240 KGS/ ,
sales,6254,28-07-2014,00557 / 20Microns,,CFS Charges,00557 / 20Microns,37017,JOBNO:00557/ AWB/BL.NO.:GMSUALX2003316 dt.01/05/2014/ BE.NO.:5871668 dt.20/06/2014/ COATED CALCIUM CARBONATE PWD-G (ASCOM 20 T) NOT FOR MEDICINCAL USE/ 4160 PKG/104240 KGS/ ,
sales,6254,28-07-2014,00557 / 20Microns,,DO CHARGES,00557 / 20Microns,40219,JOBNO:00557/ AWB/BL.NO.:GMSUALX2003316 dt.01/05/2014/ BE.NO.:5871668 dt.20/06/2014/ COATED CALCIUM CARBONATE PWD-G (ASCOM 20 T) NOT FOR MEDICINCAL USE/ 4160 PKG/104240 KGS/ ,
sales,6254,28-07-2014,00557 / 20Microns,,ADC Formalities,00557 / 20Microns,5000,JOBNO:00557/ AWB/BL.NO.:GMSUALX2003316 dt.01/05/2014/ BE.NO.:5871668 dt.20/06/2014/ COATED CALCIUM CARBONATE PWD-G (ASCOM 20 T) NOT FOR MEDICINCAL USE/ 4160 PKG/104240 KGS/ ,
sales,6254,28-07-2014,00557 / 20Microns,,Service Tax,00557 / 20Microns,2249.52,JOBNO:00557/ AWB/BL.NO.:GMSUALX2003316 dt.01/05/2014/ BE.NO.:5871668 dt.20/06/2014/ COATED CALCIUM CARBONATE PWD-G (ASCOM 20 T) NOT FOR MEDICINCAL USE/ 4160 PKG/104240 KGS/ ,
sales,6255,28-07-2014,00595 / 20Microns,20 Microns Limited ,,00595 / 20Microns,203461.84,JOBNO:00595/ AWB/BL.NO.:590208994 DT.28/5/2014/ BE.NO.:5877655 dt.04/06/2014/ CALCINED KAOLIN/ 2080BAGS / 52280KGS/ ,
sales,6255,28-07-2014,00595 / 20Microns,,Agency charges,00595 / 20Microns,9400,JOBNO:00595/ AWB/BL.NO.:590208994 DT.28/5/2014/ BE.NO.:5877655 dt.04/06/2014/ CALCINED KAOLIN/ 2080BAGS / 52280KGS/ ,
sales,6255,28-07-2014,00595 / 20Microns,,CFS Charges,00595 / 20Microns,36292,JOBNO:00595/ AWB/BL.NO.:590208994 DT.28/5/2014/ BE.NO.:5877655 dt.04/06/2014/ CALCINED KAOLIN/ 2080BAGS / 52280KGS/ ,
sales,6255,28-07-2014,00595 / 20Microns,,DO CHARGES,00595 / 20Microns,156608,JOBNO:00595/ AWB/BL.NO.:590208994 DT.28/5/2014/ BE.NO.:5877655 dt.04/06/2014/ CALCINED KAOLIN/ 2080BAGS / 52280KGS/ ,
sales,6255,28-07-2014,00595 / 20Microns,,Service Tax,00595 / 20Microns,1161.84,JOBNO:00595/ AWB/BL.NO.:590208994 DT.28/5/2014/ BE.NO.:5877655 dt.04/06/2014/ CALCINED KAOLIN/ 2080BAGS / 52280KGS/ ,
sales,6256,28-07-2014,00553 / 20Microns,20 Microns Limited ,,00553 / 20Microns,61612.16,JOBNO:00553/ AWB/BL.NO.:GMSUALX2003421 dt.01/05/2014/ BE.NO.:5724801 dt.06/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 2160 PKG/54120 KGS/ ,
sales,6256,28-07-2014,00553 / 20Microns,,Agency charges,00553 / 20Microns,6600,JOBNO:00553/ AWB/BL.NO.:GMSUALX2003421 dt.01/05/2014/ BE.NO.:5724801 dt.06/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 2160 PKG/54120 KGS/ ,
sales,6256,28-07-2014,00553 / 20Microns,,CFS Charges,00553 / 20Microns,21910,JOBNO:00553/ AWB/BL.NO.:GMSUALX2003421 dt.01/05/2014/ BE.NO.:5724801 dt.06/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 2160 PKG/54120 KGS/ ,
sales,6256,28-07-2014,00553 / 20Microns,,DO CHARGES,00553 / 20Microns,27792,JOBNO:00553/ AWB/BL.NO.:GMSUALX2003421 dt.01/05/2014/ BE.NO.:5724801 dt.06/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 2160 PKG/54120 KGS/ ,
sales,6256,28-07-2014,00553 / 20Microns,,De-stuffing Expenses,00553 / 20Microns,4000,JOBNO:00553/ AWB/BL.NO.:GMSUALX2003421 dt.01/05/2014/ BE.NO.:5724801 dt.06/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 2160 PKG/54120 KGS/ ,
sales,6256,28-07-2014,00553 / 20Microns,,Service Tax,00553 / 20Microns,1310.16,JOBNO:00553/ AWB/BL.NO.:GMSUALX2003421 dt.01/05/2014/ BE.NO.:5724801 dt.06/06/2014/ LIME STONE PWD-D (ASCOM 17)/ 2160 PKG/54120 KGS/ ,
sales,6257,28-07-2014,00561 / 20Microns,20 Microns Limited ,,00561 / 20Microns,26915.88,JOBNO:00561/ AWB/BL.NO.:GMSUALX2003510 dt.10/05/2014/ BE.NO.:5952853 dt.28/06/2014/ LIME STONE PWD-F (ASCOM 20)/ 1080 PKG/27060 KGS/ ,
sales,6257,28-07-2014,00561 / 20Microns,,Agency charges,00561 / 20Microns,3300,JOBNO:00561/ AWB/BL.NO.:GMSUALX2003510 dt.10/05/2014/ BE.NO.:5952853 dt.28/06/2014/ LIME STONE PWD-F (ASCOM 20)/ 1080 PKG/27060 KGS/ ,
sales,6257,28-07-2014,00561 / 20Microns,,CFS Charges,00561 / 20Microns,9882,JOBNO:00561/ AWB/BL.NO.:GMSUALX2003510 dt.10/05/2014/ BE.NO.:5952853 dt.28/06/2014/ LIME STONE PWD-F (ASCOM 20)/ 1080 PKG/27060 KGS/ ,
sales,6257,28-07-2014,00561 / 20Microns,,DO CHARGES,00561 / 20Microns,13326,JOBNO:00561/ AWB/BL.NO.:GMSUALX2003510 dt.10/05/2014/ BE.NO.:5952853 dt.28/06/2014/ LIME STONE PWD-F (ASCOM 20)/ 1080 PKG/27060 KGS/ ,
sales,6257,28-07-2014,00561 / 20Microns,,Service Tax,00561 / 20Microns,407.88,JOBNO:00561/ AWB/BL.NO.:GMSUALX2003510 dt.10/05/2014/ BE.NO.:5952853 dt.28/06/2014/ LIME STONE PWD-F (ASCOM 20)/ 1080 PKG/27060 KGS/ ,
sales,6258,29-07-2014,00714 / APOLLO,APOLLO TYRES LIMITED,,00714 / APOLLO,8089.92,JOBNO:00714/ AWB/BL.NO.:MSCURH834286 DT.25/05/2014/ BE.NO.:6107601 dt.15/07/2014/ SYNTHETIC RUBBER/ 48BOX  / 63245KGS/ 4100039655,
sales,6258,29-07-2014,00714 / APOLLO,,Agency charges,00714 / APOLLO,7200,JOBNO:00714/ AWB/BL.NO.:MSCURH834286 DT.25/05/2014/ BE.NO.:6107601 dt.15/07/2014/ SYNTHETIC RUBBER/ 48BOX  / 63245KGS/ 4100039655,
sales,6258,29-07-2014,00714 / APOLLO,,Service Tax,00714 / APOLLO,889.92,JOBNO:00714/ AWB/BL.NO.:MSCURH834286 DT.25/05/2014/ BE.NO.:6107601 dt.15/07/2014/ SYNTHETIC RUBBER/ 48BOX  / 63245KGS/ 4100039655,
sales,6259,29-07-2014,00631 / APOLLO,APOLLO TYRES LIMITED,,00631 / APOLLO,2696.64,JOBNO:00631/ AWB/BL.NO.:NYKSS010815150 DT.27/05/2014/ BE.NO.:6115266 dt.15/07/2014/ EXXON BROMOBUTYL/ 14CRTS / 19107KGS/ 4100039567,
sales,6259,29-07-2014,00631 / APOLLO,,Agency charges,00631 / APOLLO,2400,JOBNO:00631/ AWB/BL.NO.:NYKSS010815150 DT.27/05/2014/ BE.NO.:6115266 dt.15/07/2014/ EXXON BROMOBUTYL/ 14CRTS / 19107KGS/ 4100039567,
sales,6259,29-07-2014,00631 / APOLLO,,Service Tax,00631 / APOLLO,296.64,JOBNO:00631/ AWB/BL.NO.:NYKSS010815150 DT.27/05/2014/ BE.NO.:6115266 dt.15/07/2014/ EXXON BROMOBUTYL/ 14CRTS / 19107KGS/ 4100039567,
