Voucher Type,Invoice No,Date,Ref,Dr Account,Cr.Account,Cost Center,Amount,Narration
sales,6455,16-08-2014,00876 / GKN,GKN DRIVE LINE (INDIA) LIMITED,,00876 / GKN,5758.02,JOBNO:00876/ AWB/BL.NO.:HDMUQSII5342988 dt.16/07/2014/ BE.NO.:6285484 dt.30/07/2014/ ROLLER GI1100I (YELLOW) (ACTUAL USER) (7500 PCS @ USD 0.263 / PCS)/ 1 PLT/755 KGS/ ,
sales,6455,16-08-2014,00876 / GKN,,Agency charges,00876 / GKN,1800,JOBNO:00876/ AWB/BL.NO.:HDMUQSII5342988 dt.16/07/2014/ BE.NO.:6285484 dt.30/07/2014/ ROLLER GI1100I (YELLOW) (ACTUAL USER) (7500 PCS @ USD 0.263 / PCS)/ 1 PLT/755 KGS/ ,
sales,6455,16-08-2014,00876 / GKN,,Documentation charges,00876 / GKN,150,JOBNO:00876/ AWB/BL.NO.:HDMUQSII5342988 dt.16/07/2014/ BE.NO.:6285484 dt.30/07/2014/ ROLLER GI1100I (YELLOW) (ACTUAL USER) (7500 PCS @ USD 0.263 / PCS)/ 1 PLT/755 KGS/ ,
sales,6455,16-08-2014,00876 / GKN,,CFS Charges,00876 / GKN,3175,JOBNO:00876/ AWB/BL.NO.:HDMUQSII5342988 dt.16/07/2014/ BE.NO.:6285484 dt.30/07/2014/ ROLLER GI1100I (YELLOW) (ACTUAL USER) (7500 PCS @ USD 0.263 / PCS)/ 1 PLT/755 KGS/ ,
sales,6455,16-08-2014,00876 / GKN,,Service Tax On CFS Charges,00876 / GKN,392,JOBNO:00876/ AWB/BL.NO.:HDMUQSII5342988 dt.16/07/2014/ BE.NO.:6285484 dt.30/07/2014/ ROLLER GI1100I (YELLOW) (ACTUAL USER) (7500 PCS @ USD 0.263 / PCS)/ 1 PLT/755 KGS/ ,
sales,6455,16-08-2014,00876 / GKN,,Service Tax,00876 / GKN,241.02,JOBNO:00876/ AWB/BL.NO.:HDMUQSII5342988 dt.16/07/2014/ BE.NO.:6285484 dt.30/07/2014/ ROLLER GI1100I (YELLOW) (ACTUAL USER) (7500 PCS @ USD 0.263 / PCS)/ 1 PLT/755 KGS/ ,
sales,6456,16-08-2014,00996 / TEJA,TEJA INDUSTRIES,,00996 / TEJA,10477.18,JOBNO:00996/ AWB/BL.NO.:KKLUKR212941 dt.19/07/2014/ BE.NO.:6366570 dt.07/08/2014/ COW FINISHED LEATHER (1.8-2.0MM A155 ) (COLOR:TWO TONE BROWN) (1000 SFT @ USD 2.15 / SFT)/ 2 PLT/1673 KGS/ ,
sales,6456,16-08-2014,00996 / TEJA,,Agency charges,00996 / TEJA,2000,JOBNO:00996/ AWB/BL.NO.:KKLUKR212941 dt.19/07/2014/ BE.NO.:6366570 dt.07/08/2014/ COW FINISHED LEATHER (1.8-2.0MM A155 ) (COLOR:TWO TONE BROWN) (1000 SFT @ USD 2.15 / SFT)/ 2 PLT/1673 KGS/ ,
sales,6456,16-08-2014,00996 / TEJA,,Documentation charges,00996 / TEJA,250,JOBNO:00996/ AWB/BL.NO.:KKLUKR212941 dt.19/07/2014/ BE.NO.:6366570 dt.07/08/2014/ COW FINISHED LEATHER (1.8-2.0MM A155 ) (COLOR:TWO TONE BROWN) (1000 SFT @ USD 2.15 / SFT)/ 2 PLT/1673 KGS/ ,
sales,6456,16-08-2014,00996 / TEJA,,Delivery Expenses,00996 / TEJA,300,JOBNO:00996/ AWB/BL.NO.:KKLUKR212941 dt.19/07/2014/ BE.NO.:6366570 dt.07/08/2014/ COW FINISHED LEATHER (1.8-2.0MM A155 ) (COLOR:TWO TONE BROWN) (1000 SFT @ USD 2.15 / SFT)/ 2 PLT/1673 KGS/ ,
